budget,dataset,scenario,target_fpr,n,tpr_mean,tpr_std,fpr_mean,fpr_std,precision_mean,AP_mean,P_at_R90_mean
2000,FINAL,OFFICIAL_TEST,0.01,3,0.4762847222222222,0.0040337342398426,0.0108189056907005,0.0002783630489189,0.9737130027843584,0.9398255266136244,0.8443637459605333
2000,FINAL,OFFICIAL_TEST,0.02,3,0.5850564236111112,0.00820091667255,0.0217729563883409,0.0002423114660036,0.957646728870854,0.9398255266136244,0.8443637459605333
2000,FINAL,TEMPLATE_OOD_EXACT,0.0001,3,0.0442247854329413,0.0065051180441076,0.0001218094236199,1.1073583965450004e-05,0.9964753034945304,0.9367360297259164,0.8387518991349366
2000,FINAL,TEMPLATE_OOD_EXACT,0.0005,3,0.1125055228103818,0.002346684254688,0.0003063691563774,1.2786673366692964e-05,0.9965452711862038,0.9367360297259164,0.8387518991349366
2000,FINAL,TEMPLATE_OOD_EXACT,0.001,3,0.1693834193481673,0.011416072756486,0.0008452835760293,5.233171614257216e-05,0.9936837931765042,0.9367360297259164,0.8387518991349366
2000,FINAL,TEMPLATE_OOD_EXACT,0.0025,3,0.2825093770269888,0.0101146135326373,0.0025727626746396,0.0001676956490648,0.9885438045883018,0.9367360297259164,0.8387518991349366
2000,FINAL,TEMPLATE_OOD_EXACT,0.005,3,0.3798189458247553,0.010961033141267,0.0054482033110015,0.0001439565915508,0.9820612088193056,0.9367360297259164,0.8387518991349366
2000,FINAL,TEMPLATE_OOD_EXACT,0.01,3,0.4769593051129473,0.0042219336224797,0.010597419854936,0.0002618147481875,0.9724813620250178,0.9367360297259164,0.8387518991349366
2000,FINAL,TEMPLATE_OOD_EXACT,0.02,3,0.5829173599556294,0.0082850565774931,0.0212575900190096,0.0002273008776677,0.955619623075771,0.9367360297259164,0.8387518991349366
5000,DEV,DEV,0.0001,3,0.2874666666666667,0.0321187380407969,3.3333333333333335e-05,5.773502691896258e-05,0.9998922994076468,0.9912490491437296,0.981286497903321
5000,DEV,DEV,0.0005,3,0.5591333333333334,0.0046971622638922,0.0004,0.0001,0.9992844849538626,0.9912490491437296,0.981286497903321
5000,DEV,DEV,0.001,3,0.6290999999999999,0.0091804139340227,0.0008333333333333,0.0001527525231651,0.9986780357705412,0.9912490491437296,0.981286497903321
5000,DEV,DEV,0.0025,3,0.7279666666666667,0.0075797977105812,0.0026,0.0003605551275463,0.9964441635499672,0.9912490491437296,0.981286497903321
5000,DEV,DEV,0.005,3,0.7965666666666666,0.006123996516437,0.0049333333333333,0.0001527525231651,0.9938449968933796,0.9912490491437296,0.981286497903321
5000,DEV,DEV,0.01,3,0.8627333333333334,0.0014468356276139,0.0101999999999999,0.0007211102550927,0.9883155342388396,0.9912490491437296,0.981286497903321
5000,DEV,DEV,0.02,3,0.9085,0.0019078784028339,0.0203666666666666,0.0005131601439446,0.9780743159831404,0.9912490491437296,0.981286497903321
5000,FINAL,DOMAIN_OOD_EXACT,0.0001,3,0.0597717756284196,0.0138693373340378,8.907026834440301e-05,6.1133252645927e-05,0.99922829894125,0.970242251252317,0.9218198190188716
5000,FINAL,DOMAIN_OOD_EXACT,0.0005,3,0.2114575947701925,0.0092076454928834,0.0009716756546664,0.0001262243701769,0.9974776751523188,0.970242251252317,0.9218198190188716
5000,FINAL,DOMAIN_OOD_EXACT,0.001,3,0.272754433608469,0.0138926817729259,0.0018623783381106,0.0003075907288089,0.9962664009105398,0.970242251252317,0.9218198190188716
5000,FINAL,DOMAIN_OOD_EXACT,0.0025,3,0.3850338679973066,0.0140975584540083,0.00492315665031,0.0002620073148935,0.9930080414808664,0.970242251252317,0.9218198190188716
5000,FINAL,DOMAIN_OOD_EXACT,0.005,3,0.4736391486401519,0.0154168135764001,0.0102187889682423,0.0001147989998118,0.988247905294388,0.970242251252317,0.9218198190188716
5000,FINAL,DOMAIN_OOD_EXACT,0.01,3,0.5851649699223644,0.009160351720885,0.0214821292652512,0.0005189224107276,0.9801841621647762,0.970242251252317,0.9218198190188716
5000,FINAL,DOMAIN_OOD_EXACT,0.02,3,0.7017654167391294,0.0051378620369316,0.0398387018413253,0.0003443969994354,0.9696829599595086,0.970242251252317,0.9218198190188716
5000,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.0001,3,0.0605661968437536,0.0141810948153332,8.960573476702353e-05,6.150076926743632e-05,0.9991773895782502,0.9681395668065168,0.914578182689288
5000,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.0005,3,0.218262859896398,0.0100124501997724,0.0008960573476702,9.876470880568982e-05,0.997577950374526,0.9681395668065168,0.914578182689288
5000,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.001,3,0.2786266714853632,0.0139542155417207,0.0016943629846855,0.000269187221275,0.9964258128310716,0.9681395668065168,0.914578182689288
5000,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.0025,3,0.388068907360559,0.0139025900759266,0.0046594982078852,0.0002447862365805,0.992947552236514,0.9681395668065168,0.914578182689288
5000,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.005,3,0.4744633176725696,0.0148536866105184,0.0098892147279243,9.876470880566908e-05,0.9878110126972542,0.9681395668065168,0.914578182689288
5000,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.01,3,0.5856451029996387,0.0098101904312133,0.0209270120560443,0.0004992360197473,0.9792998370534444,0.9681395668065168,0.914578182689288
5000,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.02,3,0.6997132875557162,0.0062526946597972,0.0389296187683284,0.0003524488050306,0.9681349311508232,0.9681395668065168,0.914578182689288
5000,FINAL,LATE_TEST_Q4,0.0001,3,0.0636510529651749,0.0159615333999954,3.52920416446e-05,6.112760923128388e-05,0.999867461895295,0.9892650772795104,0.9712027527112952
5000,FINAL,LATE_TEST_Q4,0.0005,3,0.2390262192345804,0.0070320573842136,0.000529380624669,0.0001833828276939,0.9994420610033364,0.9892650772795104,0.9712027527112952
5000,FINAL,LATE_TEST_Q4,0.001,3,0.3014720979851272,0.0108067300849886,0.0009881771660489,0.0001222552184625,0.9991733057628324,0.9892650772795104,0.9712027527112952
5000,FINAL,LATE_TEST_Q4,0.0025,3,0.4126962871706972,0.0094547314039696,0.0025763190400564,0.0003234569045319,0.9984216908502463,0.9892650772795104,0.9712027527112952
5000,FINAL,LATE_TEST_Q4,0.005,3,0.4956747636519457,0.0134756412946014,0.0068113640374094,0.0003234569045319,0.996536601627044,0.9892650772795104,0.9712027527112952
5000,FINAL,LATE_TEST_Q4,0.01,3,0.602622816179687,0.0102389412504925,0.0154579142403387,0.0005501484830816,0.9935538068045768,0.9892650772795104,0.9712027527112952
5000,FINAL,LATE_TEST_Q4,0.02,3,0.7116955462117357,0.0032617585969245,0.0287277218987117,0.0006381909765316,0.9898921694414646,0.9892650772795104,0.9712027527112952
5000,FINAL,OFFICIAL_TEST,0.0001,3,0.0582725694444444,0.0135175587522922,4.017824530645043e-05,2.757628181485408e-05,0.9992295210014656,0.9615149464616906,0.8994714376099745
5000,FINAL,OFFICIAL_TEST,0.0005,3,0.2067447916666666,0.0090226859054469,0.0005990211118415,7.458754422043389e-05,0.9965731212112564,0.9615149464616906,0.8994714376099745
5000,FINAL,OFFICIAL_TEST,0.001,3,0.267048611111111,0.0135449861549767,0.00111038059756,0.0001702269003978,0.9950992250566254,0.9615149464616906,0.8994714376099745
5000,FINAL,OFFICIAL_TEST,0.0025,3,0.3789800347222222,0.0135954855845801,0.0027284681130834,0.0001793853335935,0.9915183398080268,0.9615149464616906,0.8994714376099745
5000,FINAL,OFFICIAL_TEST,0.005,3,0.4681857638888888,0.014850158141027,0.0054240631163707,4.77635211871504e-05,0.9864128030087504,0.9615149464616906,0.8994714376099745
5000,FINAL,OFFICIAL_TEST,0.01,3,0.5805598958333333,0.0088209875430594,0.0116151654613192,0.0002099193957995,0.9767779878836916,0.9615149464616906,0.8994714376099745
5000,FINAL,OFFICIAL_TEST,0.02,3,0.6984027777777778,0.0050863703981721,0.0221747388414054,8.077048866792554e-05,0.963641352254232,0.9615149464616906,0.8994714376099745
5000,FINAL,TEMPLATE_OOD_EXACT,0.0001,3,0.0591528243887305,0.013852318814665,4.060314120665154e-05,2.7867908514739865e-05,0.999178402165824,0.9593208941644804,0.8920322260063975
5000,FINAL,TEMPLATE_OOD_EXACT,0.0005,3,0.2135188997621666,0.0098179427746543,0.0005315320303415,5.859589858954636e-05,0.9968423760435404,0.9593208941644804,0.8920322260063975
5000,FINAL,TEMPLATE_OOD_EXACT,0.001,3,0.2729490397360332,0.0136391842159325,0.0009818577782698,0.0001511588153438,0.995453749368111,0.9593208941644804,0.8920322260063975
5000,FINAL,TEMPLATE_OOD_EXACT,0.0025,3,0.3820139691850682,0.0135336489313319,0.0025284683387778,0.0001691517891204,0.991643127004052,0.9593208941644804,0.8920322260063975
5000,FINAL,TEMPLATE_OOD_EXACT,0.005,3,0.4688043468042903,0.0144215356582697,0.0052045844637616,3.992637479061366e-05,0.9860532508822238,0.9593208941644804,0.8920322260063975
5000,FINAL,TEMPLATE_OOD_EXACT,0.01,3,0.5806847344820779,0.0095218257050923,0.0111031135226915,0.0002653812371853,0.9762305558913704,0.9593208941644804,0.8920322260063975
5000,FINAL,TEMPLATE_OOD_EXACT,0.02,3,0.69577070231347,0.0061870243202236,0.0213646346640089,8.457589456022758e-05,0.9623680252612408,0.9593208941644804,0.8920322260063975
10000,DEV,DEV,0.0001,3,0.4501333333333333,0.003946306289853,0.0001,0.0,0.9997778815129212,0.9941593124205068,0.98923559464446
10000,DEV,DEV,0.0005,3,0.6305333333333333,0.0067024871005719,0.0003333333333333,0.0001154700538379,0.9994705787480984,0.9941593124205068,0.98923559464446
10000,DEV,DEV,0.001,3,0.7009,0.0079899937421752,0.001,0.0001732050807568,0.9985743947112464,0.9941593124205068,0.98923559464446
10000,DEV,DEV,0.0025,3,0.7898000000000001,0.0029715315916207,0.0022666666666666,5.77350269189625e-05,0.9971381956875712,0.9941593124205068,0.98923559464446
10000,DEV,DEV,0.005,3,0.8516,0.0017349351572897,0.0044666666666666,0.0003214550253664,0.9947822096881024,0.9941593124205068,0.98923559464446
10000,DEV,DEV,0.01,3,0.9047666666666666,0.0006429100507328,0.0107666666666666,0.0005507570547286,0.9882400177279864,0.9941593124205068,0.98923559464446
