rep,probe,budget,n,tpr_mean,tpr_std,fpr_mean,precision_mean,AP_mean,P_at_R90_mean
RT,LINEAR,5000,5,0.6506848958333333,0.014464925738001715,0.0052838045145737,0.9904365253266668,0.9782046784010994,0.9427622641350311
RT,LINEAR,10000,5,0.7128072916666667,0.018625244139024878,0.00529695375849216,0.9912350752160922,0.9835012257568951,0.9600416698504327
RT,LINEAR,20000,5,0.7590364583333333,0.007540254295551323,0.00558623712469862,0.9913308689701458,0.9865805704864344,0.9699636382678559
RT,LINEAR,50000,5,0.7932239583333334,0.010392454771795262,0.00598509752355902,0.9911134458798585,0.9884978579415415,0.9759874798855404
RT,LINEAR,100000,5,0.8103828125,0.0029141893310945994,0.00598071444225286,0.9913065169248536,0.9894508043089543,0.9788419119654114
RT,LINEAR,200000,5,0.8226302083333333,0.0,0.0061911023449484,0.9911362816309242,0.9899650548141675,0.980704019522992
RT,MLP,2000,5,0.43337239583333337,0.020681153992937656,0.00414201183431948,0.9887804551344166,0.9515357287407525,0.8597235741409157
RT,MLP,5000,5,0.5543515625,0.021619885927131283,0.00499671268902032,0.9894066333010862,0.9716831704157967,0.9232818568268024
RT,MLP,10000,5,0.6363749999999999,0.010096724768314365,0.0052421652421652,0.9902989351114375,0.9793482586452387,0.9477474686093265
RT,MLP,20000,5,0.7223723958333333,0.015097445410972105,0.00529037913653294,0.9913717723322755,0.9854669478151127,0.9677405946138036
RT,MLP,50000,5,0.8206145833333334,0.01965007129210833,0.00536050843743148,0.9922956865867933,0.9904584848518354,0.9822239404556713
RT,MLP,100000,5,0.8632994791666666,0.021669781974427593,0.00566513258820946,0.9922653531794705,0.9926674322851428,0.9880260956841657
RT,MLP,200000,5,0.8787604166666666,0.011276693441276707,0.00596537365768132,0.9919990260584178,0.9934875609786141,0.9894043576547095
RU,LINEAR,2000,5,0.5861614583333333,0.0318581974730113,0.00497479728248952,0.9900023542145531,0.9704393653125969,0.9103400919053165
RU,LINEAR,5000,5,0.6521328125,0.0291449553562178,0.0051303966688581604,0.9907202704768825,0.9801688971753404,0.9465007465303936
RU,LINEAR,10000,5,0.7109791666666666,0.010437099101374395,0.0052005259697566805,0.9913841911472993,0.9850784348882616,0.9626934484238838
RU,LINEAR,20000,5,0.7519505208333334,0.011685113038663592,0.00513258820951124,0.9919544554626623,0.9870625710478699,0.9689632109156101
RU,LINEAR,50000,5,0.7896953124999999,0.005526961086822628,0.0052947622178391,0.9920961428727126,0.9892060663169643,0.9764199488429123
RU,LINEAR,100000,5,0.8135546874999999,0.005712422263861454,0.0051282051282050805,0.9925645369167444,0.9903971302648567,0.9805304757159725
RU,LINEAR,200000,5,0.8340234375,0.0,0.0051720359412667,0.9926850058117008,0.991281454737422,0.9836630140885158
RU,MLP,2000,5,0.5029739583333332,0.03587171004713502,0.00486522024983558,0.9886631060080509,0.9633679277609453,0.8932199989841829
RU,MLP,5000,5,0.60490625,0.026829785540910055,0.00540653079114612,0.9894801962694656,0.9768238182994269,0.9367843670524323
RU,MLP,10000,5,0.6722708333333334,0.02262039113273313,0.00537146614069684,0.990582396731232,0.982691035449092,0.9552988342711789
RU,MLP,20000,5,0.7467213541666666,0.014081389825409518,0.00541091387245226,0.9914598133645608,0.986263181950936,0.9660068766029786
RU,MLP,50000,5,0.8362682291666668,0.010088842142961197,0.00577032653955728,0.9918695018073352,0.9910050375925901,0.9827701361025845
RU,MLP,100000,5,0.8708880208333334,0.011329432246172609,0.0059259259259258805,0.9919829708372822,0.9925951151665096,0.9877652209494701
RU,MLP,200000,5,0.8835104166666667,0.014083957756089102,0.0064847687924610405,0.9913508734496176,0.992350260310349,0.9878499439025582
RUT,LINEAR,2000,5,0.6093880208333333,0.03647816843249771,0.004858645627876359,0.99061306952451,0.9739143909734768,0.9218371122283473
RUT,LINEAR,5000,5,0.6796145833333334,0.03409297855761997,0.00527722989261448,0.9908476446456682,0.9824510582920036,0.9554185289602192
RUT,LINEAR,10000,5,0.7351354166666667,0.013049404201166643,0.00503396888012266,0.9919266869759481,0.9871340759889626,0.9712357848733252
RUT,LINEAR,20000,5,0.7773020833333334,0.01413916337788327,0.0051128643436335,0.9922427874066384,0.9893521947972654,0.9780065264093375
RUT,LINEAR,50000,5,0.8201458333333334,0.010968919560111182,0.00541529695375844,0.9922137924216974,0.9910016509806097,0.9835964613509628
RUT,LINEAR,100000,5,0.8404427083333333,0.007604880103518318,0.0053364014902475805,0.9925099498074136,0.9918250418703576,0.9863031468380313
RUT,LINEAR,200000,5,0.8571744791666667,0.0,0.0054788516326977,0.9924620464036424,0.9923337637676248,0.9882778436950523
RUT,MLP,2000,5,0.5308463541666667,0.03233888910022669,0.0045759368836291395,0.9898696110442309,0.9671499861007348,0.9038642768891618
RUT,MLP,5000,5,0.6332239583333333,0.028895000626369915,0.00533859303090066,0.9900718122674064,0.9792444664663412,0.944833813640272
RUT,MLP,10000,5,0.6981067708333334,0.027602412483570943,0.0051260135875520006,0.9913453854979496,0.9848471072566289,0.9633762057617752
RUT,MLP,20000,5,0.7685651041666667,0.01970050878497095,0.00528818759587986,0.9918855077191117,0.9888999132221763,0.9752769389919413
RUT,MLP,50000,5,0.8531276041666667,0.009228163229052221,0.00554240631163702,0.9923393315257952,0.9924851842939415,0.9866566861664225
RUT,MLP,100000,5,0.8988619791666667,0.00878039985906751,0.0060924830155599,0.9920081085604492,0.9941918650344089,0.9918088512816124
RUT,MLP,200000,5,0.9025130208333334,0.012949963384091353,0.006741179048871321,0.9912006212588249,0.9941857837852683,0.9913889819992843
