system,rep,budget,use_dom,mode,scenario,target_fpr,threshold,tpr,fpr,precision,f1,tp,fp,tn,fn,fp_per_1000,fpr_ci_lo,fpr_ci_hi,AP,AUC,P_at_R90,FPR_at_TPR90,FPR_at_TPR95
DUAL_RUT_200000,RUT,200000,False,text,TEMPLATE_OOD_EXACT,0.02,1.7617187500000002,0.6271327448602612,0.02304412823210232,0.9553011427098548,0.7571888247612237,44475,2081,88224,26443,23.04412823210232,0.022075324093277535,0.024043733935477027,0.9392439698958263,0.9477842246130058,0.8423142370958593,0.1323736227229943,0.27914290460107416
DUAL_RUT_200000,RUT,200000,False,text,DOMAIN_TEMPLATE_OOD_EXACT,0.02,1.7617187500000002,0.6245030719190459,0.037243401759530795,0.9659243359270191,0.7585668004108903,43200,1524,39396,25975,37.2434017595308,0.03542939025812609,0.039123449758813024,0.9594034752248388,0.9340580626437617,0.895781494958793,0.1770772238514174,0.34384164222873903
DUAL_RUT_200000,RUT,200000,False,text,LATE_TEST_Q4,0.02,1.7617187500000002,0.6747368702964729,0.04436209634727369,0.98364111974388,0.8004193671368661,25194,419,9026,12145,44.36209634727369,0.04029785219226366,0.048710237192591266,0.9827908890797004,0.9452263170577796,0.9611919810106672,0.14367390153520382,0.19661196400211753
DUAL_RUT_200000,RUT,200000,False,gated,OFFICIAL_TEST,0.0001,9.664062500000002,0.4266796875,6.574621959237344e-05,0.9998169336384439,0.5981108829568789,32769,6,91254,44031,0.06574621959237344,2.4128073749088267e-05,0.00014309630633530185,0.9964836849306892,0.9965694378812369,0.9968436072236715,0.0023997370151216304,0.006070567609029147
DUAL_RUT_200000,RUT,200000,False,gated,DOMAIN_OOD_EXACT,0.0001,9.664062500000002,0.4253989913178419,9.716756546664723e-05,0.9998742257019778,0.596861685154945,31799,4,41162,42952,0.09716756546664723,2.647550551285466e-05,0.00024876869948476564,0.9975652012422085,0.9954284245330476,0.9976870728127271,0.003789535053199242,0.009886799786231356
DUAL_RUT_200000,RUT,200000,False,gated,TEMPLATE_OOD_EXACT,0.0001,9.664062500000002,0.4277334386192504,6.644150379270251e-05,0.9998022412656559,0.5991427837800469,30334,6,90299,40584,0.06644150379270251,2.4383238661641157e-05,0.0001446095296448813,0.9964119689190589,0.9966613698663565,0.996738248330108,0.0023143790487791375,0.005392835391174354
DUAL_RUT_200000,RUT,200000,False,gated,DOMAIN_TEMPLATE_OOD_EXACT,0.0001,9.664062500000002,0.42700397542464763,9.775171065493646e-05,0.9998645995531785,0.5984379590141516,29538,4,40916,39637,0.09775171065493646,2.6634672824115537e-05,0.0002502641157298036,0.9975673501507191,0.995715117353278,0.9976934535727443,0.0035190615835777126,0.008797653958944282
DUAL_RUT_200000,RUT,200000,False,gated,LATE_TEST_Q4,0.0001,9.664062500000002,0.43656766383673906,0.00042350449973530967,0.9997546764796075,0.6077473715606592,16301,4,9441,21038,0.4235044997353097,0.00011540239267044071,0.0010839814822113754,0.9987075834444821,0.9953584878284067,0.9986083557871672,0.0049761778718898884,0.01111699311805188
DUAL_RUT_200000,RUT,200000,False,gated,OFFICIAL_TEST,0.0005,7.230468750000001,0.7855729166666666,0.000821827744904668,0.9987584220371811,0.879430349763496,60332,75,91185,16468,0.821827744904668,0.0006464728210024248,0.001030060868024288,0.9964836849306892,0.9965694378812369,0.9968436072236715,0.0023997370151216304,0.006070567609029147
DUAL_RUT_200000,RUT,200000,False,gated,DOMAIN_OOD_EXACT,0.0005,7.230468750000001,0.7880295915773702,0.0012388864596997522,0.9991349627694761,0.8811140694648039,58906,51,41115,15845,1.2388864596997522,0.0009225671494407413,0.0016285891917969565,0.9975652012422085,0.9954284245330476,0.9976870728127271,0.003789535053199242,0.009886799786231356
DUAL_RUT_200000,RUT,200000,False,gated,TEMPLATE_OOD_EXACT,0.0005,7.230468750000001,0.7834400293296483,0.0008083716294778805,0.9986878291661424,0.8780649698540509,55560,73,90232,15358,0.8083716294778805,0.0006336861812919339,0.0010163002226656317,0.9964119689190589,0.9966613698663565,0.996738248330108,0.0023143790487791375,0.005392835391174354
DUAL_RUT_200000,RUT,200000,False,gated,DOMAIN_TEMPLATE_OOD_EXACT,0.0005,7.230468750000001,0.7861076978677268,0.0011974584555229718,0.9990997280811347,0.8798977371099407,54379,49,40871,14796,1.1974584555229717,0.0008860135932387912,0.001582798276019498,0.9975673501507191,0.995715117353278,0.9976934535727443,0.0035190615835777126,0.008797653958944282
