probe,budget,contrast,mean_delta_tpr_pp,ci95_lo_pp,ci95_hi_pp,positive_runs,negative_runs,exact_signflip_p,holm_p
MLP,50000,RUT-RT,3.2513020833333295,1.3500425805210623,5.1525615861455965,5,0,0.0625,0.875
MLP,50000,RUT-RU,1.685937499999999,1.0022076371701945,2.3696673628298033,5,0,0.0625,0.875
MLP,100000,RU-R0,4.685416666666666,1.3061004173539745,8.06473291597936,5,0,0.0625,0.875
MLP,100000,RT-R0,3.9265624999999993,3.015146593226109,4.837978406773889,5,0,0.0625,0.875
MLP,100000,RUT-R0,7.4828125,4.354697589173888,10.61092741082611,5,0,0.0625,0.875
MLP,100000,RUT-RT,3.5562500000000012,0.9418551731219412,6.1706448268780605,5,0,0.0625,0.875
MLP,100000,RUT-RU,2.7973958333333337,1.152344726291465,4.442446940375203,5,0,0.0625,0.875
MLP,200000,RU-R0,3.398958333333333,1.7090281734286819,5.0888884932379845,5,0,0.0625,0.875
MLP,200000,RT-R0,2.9239583333333363,1.3229747196099693,4.524941947056703,5,0,0.0625,0.875
MLP,200000,RUT-R0,5.299218750000003,4.068888785501409,6.529548714498596,5,0,0.0625,0.875
MLP,200000,RUT-RT,2.375260416666667,0.10573946612760579,4.644781367205728,5,0,0.0625,0.875
MLP,200000,RUT-RU,1.9002604166666703,1.0287874759843507,2.7717333573489897,5,0,0.0625,0.875
