budget,reference,candidate,scenario,n_pairs,margin_tpr_pp,RUT_tpr_mean,R0_200k_tpr_mean,mean_delta_tpr_pp,ci95_two_sided_lo_pp,ci95_two_sided_hi_pp,ci95_one_sided_lower_pp,exact_signflip_p_NI_one_sided,NI_reject_alpha_0_05,pairs_within_margin,candidate_better_pairs,mean_delta_fpr_pp,mean_delta_AP_pp,mean_delta_P_at_R90_pp,NEW_N5_exact_signflip_p_NI_one_sided,NEW_N5_pairs_within_margin
50000,R0_200k,RUT_50000,OFFICIAL_TEST,10,1.0,0.8154947916666666,0.7792447916666667,3.6249999999999964,2.7568860316453043,4.493113968354688,2.9215338710593834,0.0009765625,True,10,10,-0.07900504054350597,0.3020157134798662,1.0221733706199865,0.03125,5
50000,R0_200k,RUT_50000,DOMAIN_OOD_EXACT,10,1.0,0.8219167636553358,0.7895412770397721,3.237548661556365,2.3623902557727634,4.112707067339967,2.528374154097121,0.0009765625,True,10,10,-0.17975999611329405,0.2294962531493061,0.7628402484650909,0.03125,5
50000,R0_200k,RUT_50000,TEMPLATE_OOD_EXACT,10,1.0,0.8163089765644831,0.780168645477876,3.6140331086607027,2.6819049619741673,4.546161255347238,2.8586938295693516,0.0009765625,True,10,10,-0.080726427108136,0.3034619950041906,1.0548338306785898,0.03125,5
50000,R0_200k,RUT_50000,DOMAIN_TEMPLATE_OOD_EXACT,10,1.0,0.8233277918323093,0.7908782074448861,3.244958438742322,2.304448322866376,4.185468554618269,2.482826927716552,0.0009765625,True,10,10,-0.18035190615836097,0.2308455027117462,0.7669312187067234,0.03125,5
50000,R0_200k,RUT_50000,LATE_TEST_Q4,10,1.0,0.7903639626128177,0.7543587134095716,3.600524920324598,2.0735553144528787,5.127494526196317,2.363162734241596,0.0009765625,True,10,10,-0.17151932239280096,0.09712067466339902,0.24668007272157566,0.03125,5
100000,R0_200k,RUT_100000,OFFICIAL_TEST,10,1.0,0.8428229166666666,0.7792447916666667,6.3578124999999925,5.7850560716511215,6.930568928348864,5.893685942700076,0.0009765625,True,10,10,-0.07440280517204097,0.3985153970764932,1.3547004275951768,0.03125,5
100000,R0_200k,RUT_100000,DOMAIN_OOD_EXACT,10,1.0,0.8492087062380437,0.7895412770397721,5.9667429198271575,5.39064579562386,6.542840044030454,5.499909268221254,0.0009765625,True,10,10,-0.1739299421852951,0.3061806808115419,1.0315217554520195,0.03125,5
100000,R0_200k,RUT_100000,TEMPLATE_OOD_EXACT,10,1.0,0.8446769508446375,0.780168645477876,6.450830536676157,5.898090262348844,7.00357081100347,6.002923838633327,0.0009765625,True,10,10,-0.0774043519185,0.41516558624888117,1.4176249031418198,0.03125,5
100000,R0_200k,RUT_100000,DOMAIN_TEMPLATE_OOD_EXACT,10,1.0,0.8515677629201301,0.7908782074448861,6.068955547524398,5.511018039336779,6.626893055712017,5.616837331042534,0.0009765625,True,10,10,-0.17644183773216499,0.3191528455383219,1.060969885242098,0.03125,5
100000,R0_200k,RUT_100000,LATE_TEST_Q4,10,1.0,0.8281903639626128,0.7543587134095716,7.38316505530411,6.448616891036399,8.317713219571822,6.625864742913152,0.0009765625,True,10,10,-0.14081524616199095,0.12953208408264638,0.37244565927388784,0.03125,5
