run,label_rank_seed,model_seed,budget,variant,sample_hash,n_train,n_test,AP,AUC,P_at_R90,FPR_at_TPR90
7,9108,282,500,R0,6282dbcd2590168f933a0f6f4c963f4b18a5820cda64e43ca98ca57750b0336f,500,2598,0.8808040766153638,0.9301451842833657,0.6870292887029289,0.22182680901542112
7,9108,282,500,RUT,6282dbcd2590168f933a0f6f4c963f4b18a5820cda64e43ca98ca57750b0336f,500,2598,0.9145366256431999,0.94962643857568,0.761595547309833,0.15243179122182682
7,9108,282,1000,R0,76b85203681cd59b31e8529310e6a86ba6cb477081d16f684b7834e4cec9c81e,1000,2598,0.9167368220179425,0.9551622234708955,0.8096646942800789,0.11447212336892053
7,9108,282,1000,RUT,76b85203681cd59b31e8529310e6a86ba6cb477081d16f684b7834e4cec9c81e,1000,2598,0.9488160216993535,0.9702568625002602,0.870625662778367,0.07236061684460261
7,9108,282,2000,R0,1347791770d9753485ae7f7347b0158e11a4ada637709203d13eff313901ed59,2000,2598,0.9297933271583441,0.9631608863499198,0.836901121304791,0.09489916963226572
7,9108,282,2000,RUT,1347791770d9753485ae7f7347b0158e11a4ada637709203d13eff313901ed59,2000,2598,0.9600290493356922,0.9782906443154148,0.9092920353982301,0.04863582443653618
8,9109,302,200,R0,9400bab87eb6f5c4e5e161e6b9e5d5d72d74d82ce88679291bf005d1a7569a43,200,2598,0.8378543814877503,0.9038371990177103,0.6409055425448869,0.27283511269276395
8,9109,302,200,RUT,9400bab87eb6f5c4e5e161e6b9e5d5d72d74d82ce88679291bf005d1a7569a43,200,2598,0.8843715115740475,0.9330483496701422,0.7164048865619547,0.19276393831553973
8,9109,302,500,R0,68631ed302e6ebbaef92c30de8abde010b3cdee0c140bf88025e9a0adecafa2f,500,2598,0.8985181882378729,0.9411582225135794,0.7644320297951583,0.15005931198102015
8,9109,302,500,RUT,68631ed302e6ebbaef92c30de8abde010b3cdee0c140bf88025e9a0adecafa2f,500,2598,0.9293621904945046,0.9577798849139456,0.8170974155069582,0.10913404507710557
