run,label_rank_seed,model_seed,budget,variant,sample_hash,n_train,n_test,AP,AUC,P_at_R90,FPR_at_TPR90
8,9109,302,1000,E1_TARGET_RUT,df9bf5bdbb54b5b10f96dd13d938ba0806d1768988a7c5390e6471ac1c42e63d,1000,2598,0.9407206061943691,0.9679084462342095,0.8784648187633263,0.06761565836298933
8,9109,302,2000,E0_SOURCE_RUT,48b718245fc1b11c03753dbe84015790313c42a4d4e97d10a0b0a98aed781f8a,2000,2598,0.9591713824742516,0.9763337391521507,0.8962882096069869,0.05634638196915777
8,9109,302,2000,E1_TARGET_RUT,48b718245fc1b11c03753dbe84015790313c42a4d4e97d10a0b0a98aed781f8a,2000,2598,0.9520022067207461,0.9741882322948534,0.8876889848812095,0.06168446026097272
9,9110,322,200,E0_SOURCE_RUT,159868345d8f559162b786b939535ceb4c7b1ba13a5d0093357870687915d80c,200,2598,0.8421939753532095,0.894807079977524,0.5926459985580389,0.3351126927639383
9,9110,322,200,E1_TARGET_RUT,159868345d8f559162b786b939535ceb4c7b1ba13a5d0093357870687915d80c,200,2598,0.8454607110675241,0.9109312241160434,0.6723996723996724,0.2372479240806643
9,9110,322,500,E0_SOURCE_RUT,ac79144a8ab58d2068376492477f94b232ff08ee1cbcf883a783d84b4538cc74,500,2598,0.9153174199981303,0.9508380418721775,0.7552897884084636,0.15776986951364175
9,9110,322,500,E1_TARGET_RUT,ac79144a8ab58d2068376492477f94b232ff08ee1cbcf883a783d84b4538cc74,500,2598,0.9113238019765791,0.9513232034713118,0.7804182509505704,0.13701067615658363
9,9110,322,1000,E0_SOURCE_RUT,c34d4c19c5682b30fb5dd577f35117823f871aa03c3aa2c2c559b65f7244cc5e,1000,2598,0.9464886365040942,0.9693281617448128,0.8463917525773196,0.08837485172004746
9,9110,322,1000,E1_TARGET_RUT,c34d4c19c5682b30fb5dd577f35117823f871aa03c3aa2c2c559b65f7244cc5e,1000,2598,0.9368748345984688,0.9638645657738655,0.8218218218218218,0.1055753262158956
9,9110,322,2000,E0_SOURCE_RUT,59481667b61e39dbfb3e9cb8f5f2dc37727b29a66465d03a3c3e07bd0f429cba,2000,2598,0.9597293704884938,0.9766133899398556,0.9041850220264317,0.051601423487544484
9,9110,322,2000,E1_TARGET_RUT,59481667b61e39dbfb3e9cb8f5f2dc37727b29a66465d03a3c3e07bd0f429cba,2000,2598,0.9557546389713386,0.9744034983663191,0.8933623503808488,0.05812574139976275
