run,stream,allowed_tpr_loss_pp,scenario,target_fpr,escalation_rate,full_path_avoided_rate,delta_tpr_vs_full_pp,delta_fpr_vs_full_pp,tpr,fpr,precision,f1,tp,fp,tn,fn,fp_per_1000,full_tpr,full_fpr
1,URL_DAPT,0.5,TEMPLATE_OOD_EXACT,0.005,0.24167147367311115,0.7583285263268889,-0.5146789249555805,0.05426056143070703,0.9566541639640148,0.007142461657715519,0.9905824292952153,0.9733227169367393,67844,645,89660,3074,7.142461657715519,0.9618009532135706,0.006599856043408449
1,URL_DAPT,0.5,DOMAIN_TEMPLATE_OOD_EXACT,0.005,0.31033198601208045,0.6896680139879195,-0.3223707986989566,0.10997067448680342,0.9601445608962775,0.012878787878787878,0.9921278661587871,0.9758742286218043,66418,527,40393,2757,12.878787878787879,0.9633682688832671,0.011779081133919844
1,URL_DAPT,0.5,LATE_TEST_Q4,0.005,0.36140560875512995,0.63859439124487,-0.28656364658936617,-0.09528851244044473,0.9612469535874019,0.013763896241397565,0.9963910943312421,0.9785035645642781,35892,130,9315,1447,13.763896241397564,0.9641125900532955,0.014716781365802012
1,URL_DAPT,1.0,OFFICIAL_TEST,0.005,0.24905390931810067,0.7509460906818993,-0.505208333333329,0.05478851632697793,0.9561328125,0.007210168748630287,0.9911187895639029,0.9733115071343836,73431,658,90602,3369,7.210168748630287,0.9611848958333333,0.006662283585360508
1,URL_DAPT,1.0,DOMAIN_OOD_EXACT,0.005,0.31580354909116004,0.68419645090884,-0.32641703789915155,0.11174270028664421,0.959224625757515,0.013117621337997376,0.9925252273576679,0.9755908404424671,71703,540,40626,3048,13.117621337997376,0.9624887961365065,0.012000194335130934
1,URL_DAPT,1.0,TEMPLATE_OOD_EXACT,0.005,0.24167147367311115,0.7583285263268889,-0.5146789249555805,0.05426056143070703,0.9566541639640148,0.007142461657715519,0.9905824292952153,0.9733227169367393,67844,645,89660,3074,7.142461657715519,0.9618009532135706,0.006599856043408449
1,URL_DAPT,1.0,DOMAIN_TEMPLATE_OOD_EXACT,0.005,0.31033198601208045,0.6896680139879195,-0.3223707986989566,0.10997067448680342,0.9601445608962775,0.012878787878787878,0.9921278661587871,0.9758742286218043,66418,527,40393,2757,12.878787878787879,0.9633682688832671,0.011779081133919844
1,URL_DAPT,1.0,LATE_TEST_Q4,0.005,0.36140560875512995,0.63859439124487,-0.28656364658936617,-0.09528851244044473,0.9612469535874019,0.013763896241397565,0.9963910943312421,0.9785035645642781,35892,130,9315,1447,13.763896241397564,0.9641125900532955,0.014716781365802012
1,URL_DAPT,2.0,OFFICIAL_TEST,0.005,0.19831012733547543,0.8016898726645245,-1.5247395833333344,-0.004383081306158151,0.9459375,0.0066184527722989266,0.9917544913449462,0.9683043211686615,72648,604,90656,4152,6.618452772298927,0.9611848958333333,0.006662283585360508
1,URL_DAPT,2.0,DOMAIN_OOD_EXACT,0.005,0.2625758085526713,0.7374241914473287,-1.245468288049656,0.0024291891366661975,0.95003411325601,0.012024486226497596,0.9930779880018459,0.9710792960577593,71016,495,40671,3735,12.024486226497595,0.9624887961365065,0.012000194335130934
1,URL_DAPT,2.0,TEMPLATE_OOD_EXACT,0.005,0.19102113222058886,0.8089788677794112,-1.5087847937054089,-0.004429433586180132,0.9467131052765165,0.006555561707546648,0.9912595414212104,0.9684743488954122,67139,592,89713,3779,6.555561707546648,0.9618009532135706,0.006599856043408449
1,URL_DAPT,2.0,DOMAIN_TEMPLATE_OOD_EXACT,0.005,0.25607884100095374,0.7439211589990462,-1.215757137694251,0.0024437927663732706,0.9512106975063246,0.011803519061583577,0.9927130636814869,0.9715188471703406,65800,483,40437,3375,11.803519061583577,0.9633682688832671,0.011779081133919844
