run,system,label_budget,allowed_tpr_loss_pp,scenario,escalation_rate,full_path_avoided_rate,delta_tpr_vs_full_pp,delta_fpr_vs_full_pp,tpr,fpr,precision,f1,tp,fp,tn,fn,fp_per_1000,full_tpr,full_fpr
2,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,0.5,DOMAIN_OOD_EXACT,0.35666899591949414,0.6433310040805058,-0.3143770651897637,0.41296215323325064,0.9593450254846089,0.01612981586746344,0.9908256880733946,0.9748312682240514,71712,664,40502,3039,16.12981586746344,0.9624887961365065,0.012000194335130934
2,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,0.5,TEMPLATE_OOD_EXACT,0.27538254467414697,0.7246174553258531,-0.44699512112580386,0.19710979458501748,0.9573310020023126,0.008570953989258624,0.9887280459033583,0.9727762494268684,67892,774,89531,3026,8.570953989258625,0.9618009532135706,0.006599856043408449
2,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,0.5,DOMAIN_TEMPLATE_OOD_EXACT,0.3505972114991598,0.6494027885008402,-0.3382724972894824,0.4154447702834799,0.9599855439103723,0.015933528836754644,0.9902772185687231,0.9748961345919521,66407,652,40268,2768,15.933528836754643,0.9633682688832671,0.011779081133919844
2,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,0.5,LATE_TEST_Q4,0.37260601915184677,0.6273939808481532,-0.22764401831865122,0.1058761249338274,0.961836149870109,0.015775542615140286,0.9958683415134626,0.9785564426037436,35914,149,9296,1425,15.775542615140285,0.9641125900532955,0.014716781365802012
2,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,1.0,OFFICIAL_TEST,0.22632393192907296,0.773676068070927,-1.350260416666671,0.1479289940828403,0.9476822916666666,0.008141573526188911,0.9898945936756205,0.9683286213204724,72782,743,90517,4018,8.14157352618891,0.9611848958333333,0.006662283585360508
2,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,1.0,DOMAIN_OOD_EXACT,0.3005771370894692,0.6994228629105308,-1.1478107316290065,0.3327989117232668,0.9510106888202164,0.015328183452363602,0.991201896263246,0.9706904438421258,71089,631,40535,3662,15.328183452363602,0.9624887961365065,0.012000194335130934
2,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,1.0,TEMPLATE_OOD_EXACT,0.21792796313181123,0.7820720368681888,-1.3395752841309672,0.1494933835335807,0.948405200372261,0.008094789878744256,0.9892484188851302,0.968396348662424,67259,731,89574,3659,8.094789878744256,0.9618009532135706,0.006599856043408449
2,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,1.0,DOMAIN_TEMPLATE_OOD_EXACT,0.29314682773967937,0.7068531722603206,-1.1362486447415998,0.3347996089931573,0.9520057824358511,0.015127077223851417,0.9906880885759846,0.9709618205810584,65855,619,40301,3320,15.127077223851417,0.9633682688832671,0.011779081133919844
2,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,1.0,LATE_TEST_Q4,0.3420827633378933,0.6579172366621067,-1.0310934947374117,-0.11646373742721025,0.9538016551059214,0.01355214399152991,0.9964187790274747,0.9746445724606942,35614,128,9317,1725,13.55214399152991,0.9641125900532955,0.014716781365802012
2,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,2.0,OFFICIAL_TEST,0.22632393192907296,0.773676068070927,-1.350260416666671,0.1479289940828403,0.9476822916666666,0.008141573526188911,0.9898945936756205,0.9683286213204724,72782,743,90517,4018,8.14157352618891,0.9611848958333333,0.006662283585360508
2,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,2.0,DOMAIN_OOD_EXACT,0.3005771370894692,0.6994228629105308,-1.1478107316290065,0.3327989117232668,0.9510106888202164,0.015328183452363602,0.991201896263246,0.9706904438421258,71089,631,40535,3662,15.328183452363602,0.9624887961365065,0.012000194335130934
2,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,2.0,TEMPLATE_OOD_EXACT,0.21792796313181123,0.7820720368681888,-1.3395752841309672,0.1494933835335807,0.948405200372261,0.008094789878744256,0.9892484188851302,0.968396348662424,67259,731,89574,3659,8.094789878744256,0.9618009532135706,0.006599856043408449
2,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,2.0,DOMAIN_TEMPLATE_OOD_EXACT,0.29314682773967937,0.7068531722603206,-1.1362486447415998,0.3347996089931573,0.9520057824358511,0.015127077223851417,0.9906880885759846,0.9709618205810584,65855,619,40301,3320,15.127077223851417,0.9633682688832671,0.011779081133919844
2,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,2.0,LATE_TEST_Q4,0.3420827633378933,0.6579172366621067,-1.0310934947374117,-0.11646373742721025,0.9538016551059214,0.01355214399152991,0.9964187790274747,0.9746445724606942,35614,128,9317,1725,13.55214399152991,0.9641125900532955,0.014716781365802012
3,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,0.25,OFFICIAL_TEST,0.37666309651315005,0.6233369034868499,-0.17057291666666696,0.11396011396011402,0.9594791666666667,0.007801884724961648,0.9904301075268818,0.9747089947089947,73688,712,90548,3112,7.801884724961648,0.9611848958333333,0.006662283585360508
3,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,0.25,DOMAIN_OOD_EXACT,0.4387363372067945,0.5612636627932055,-0.08427980896575926,0.24048972452995182,0.9616459980468489,0.014405091580430452,0.9918180940160327,0.9764990355095499,71884,593,40573,2867,14.405091580430453,0.9624887961365065,0.012000194335130934
3,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,0.25,TEMPLATE_OOD_EXACT,0.3696122761640709,0.6303877238359291,-0.19882117374996344,0.1140579148441393,0.959812741476071,0.007740435191849842,0.9898352407404715,0.9745928338762215,68068,699,89606,2850,7.7404351918498415,0.9618009532135706,0.006599856043408449
3,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,0.25,DOMAIN_TEMPLATE_OOD_EXACT,0.4341614060584041,0.565838593941596,-0.10552945428261573,0.23949169110459423,0.9623129743404409,0.014173998044965786,0.9913623637338417,0.9766216999332468,66568,580,40340,2607,14.173998044965787,0.9633682688832671,0.011779081133919844
3,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,0.25,LATE_TEST_Q4,0.43581138850889195,0.5641886114911081,-0.0348161439781558,0.09528851244044456,0.963764428613514,0.015669666490206458,0.9959041346100626,0.9795707266614947,35986,148,9297,1353,15.669666490206458,0.9641125900532955,0.014716781365802012
3,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,0.5,OFFICIAL_TEST,0.29260383196477446,0.7073961680352255,-0.5000000000000004,0.0887573964497042,0.9561848958333333,0.00754985754985755,0.9907047649883978,0.973138798335586,73435,689,90571,3365,7.54985754985755,0.9611848958333333,0.006662283585360508
