system,run,rep,method,budget,scenario,threshold,tpr,fpr,precision,f1,tp,fp,tn,fn,fp_per_1000,AP,AUC,P_at_R90,FPR_at_TPR90
R0_RANDOM_20K,4,R0,RANDOM,20000,TEMPLATE_OOD_EXACT,2.8494827747344975,0.6992159959389718,0.005071701456176292,0.9908482365870717,0.8198705389251258,49587,458,89847,21331,5.071701456176291,0.9827033542015906,0.9854346816339692,0.9569982757328136,0.0317590388129118
R0_RANDOM_20K,4,R0,RANDOM,20000,DOMAIN_TEMPLATE_OOD_EXACT,2.8494827747344975,0.7108203830863752,0.009652981427174976,0.9920308275834241,0.8282059271860605,49171,395,40525,20004,9.652981427174975,0.9873308024539498,0.978811706429745,0.9661990191818238,0.0532258064516129
R0_RANDOM_20K,4,R0,RANDOM,20000,LATE_TEST_Q4,2.8494827747344975,0.6731299713436354,0.00698782424563261,0.9973809523809524,0.8037864372631479,25134,66,9379,12205,6.98782424563261,0.9950782115840909,0.981826028136384,0.9878041612789468,0.04393859184753838
RUT_RANDOM_20K,0,RUT,RANDOM,20000,OFFICIAL_TEST,2.3140239715576176,0.7676692708333334,0.005150120534735919,0.9920911370252579,0.8655699677743766,58957,470,90790,17843,5.150120534735919,0.9895344110493631,0.990444832743786,0.9767829638108158,0.018003506465044925
RUT_RANDOM_20K,0,RUT,RANDOM,20000,DOMAIN_OOD_EXACT,2.3140239715576176,0.7743040226886597,0.009716756546664724,0.9931365820178449,0.8701731175440311,57880,400,40766,16871,9.716756546664724,0.992392073495615,0.9863634713198359,0.9817608778124727,0.03036486420832726
RUT_RANDOM_20K,0,RUT,RANDOM,20000,TEMPLATE_OOD_EXACT,2.3140239715576176,0.7689303138836403,0.005138142959968994,0.9915628693517593,0.8661694979867052,54531,464,89841,16387,5.138142959968994,0.9888152435059232,0.9903303389785382,0.975098536466131,0.018049941863684183
RUT_RANDOM_20K,0,RUT,RANDOM,20000,DOMAIN_TEMPLATE_OOD_EXACT,2.3140239715576176,0.7764076617275028,0.009628543499511241,0.992717459613323,0.8713385303016785,53708,394,40526,15467,9.628543499511242,0.9918857363115734,0.9863466393301021,0.9806744262966405,0.029985337243401758
RUT_RANDOM_20K,0,RUT,RANDOM,20000,LATE_TEST_Q4,2.3140239715576176,0.7199978574680629,0.006776071995764955,0.9976250556627579,0.8363743836234387,26884,64,9381,10455,6.776071995764955,0.9967183206919827,0.9880104837184089,0.9915951517296293,0.030174695606140816
RUT_RANDOM_20K,1,RUT,RANDOM,20000,OFFICIAL_TEST,2.1381232738494877,0.7804817708333334,0.005259697567389875,0.9920557422088346,0.8736417895220119,59941,480,90780,16859,5.259697567389876,0.9887384662898502,0.9893891899403717,0.9775147426922913,0.017422748191978962
RUT_RANDOM_20K,1,RUT,RANDOM,20000,DOMAIN_OOD_EXACT,2.1381232738494877,0.7880162138299153,0.009716756546664724,0.9932552061377624,0.8788118398281314,58905,400,40766,15846,9.716756546664724,0.9919754419818486,0.9854174558460386,0.9821462460402038,0.029708983141427392
RUT_RANDOM_20K,1,RUT,RANDOM,20000,TEMPLATE_OOD_EXACT,2.1381232738494877,0.7761358188330184,0.005248878799623498,0.991461920887672,0.8706835186737745,55042,474,89831,15876,5.248878799623498,0.9880143700754089,0.9893515566840014,0.9755605483974505,0.01770666076075522
RUT_RANDOM_20K,1,RUT,RANDOM,20000,DOMAIN_TEMPLATE_OOD_EXACT,2.1381232738494877,0.7843440549331406,0.009628543499511241,0.992790616823114,0.8763426097911586,54257,394,40526,14918,9.628543499511242,0.9914780629814463,0.9855347071564355,0.9805348199943306,0.030205278592375366
RUT_RANDOM_20K,1,RUT,RANDOM,20000,LATE_TEST_Q4,2.1381232738494877,0.7446101930956909,0.006458443620963473,0.9978107952914155,0.8528135208502676,27803,61,9384,9536,6.458443620963473,0.9967202129118125,0.9878212583941295,0.9930567866217573,0.024880889359449446
RUT_RANDOM_20K,2,RUT,RANDOM,20000,OFFICIAL_TEST,2.2949666976928715,0.7613671875,0.0049200087661626125,0.9923797562879739,0.8616583899441504,58473,449,90811,18327,4.920008766162613,0.9891392631771851,0.9900917623468204,0.9758304744963505,0.01875958799035722
RUT_RANDOM_20K,2,RUT,RANDOM,20000,DOMAIN_OOD_EXACT,2.2949666976928715,0.7680833701221388,0.00940096195889812,0.9933047299401405,0.8662949914373873,57415,387,40779,17336,9.40096195889812,0.9920877113390992,0.9857383180282717,0.9806142230384655,0.03230821551766021
RUT_RANDOM_20K,2,RUT,RANDOM,20000,TEMPLATE_OOD_EXACT,2.2949666976928715,0.7606672494994219,0.0048613033608327335,0.9919277728743748,0.8610397280171107,53945,439,89866,16973,4.861303360832734,0.9884793827908812,0.9900541374712951,0.9742654353964741,0.018670062565749403
RUT_RANDOM_20K,2,RUT,RANDOM,20000,DOMAIN_TEMPLATE_OOD_EXACT,2.2949666976928715,0.7680375858330322,0.00926197458455523,0.9929169469985797,0.8661183701083279,53129,379,40541,16046,9.26197458455523,0.9915885798909219,0.9857765802869386,0.979396036489462,0.03201368523949169
RUT_RANDOM_20K,2,RUT,RANDOM,20000,LATE_TEST_Q4,2.2949666976928715,0.7164894614210343,0.006034939121228163,0.9978739276389407,0.8340893856490359,26753,57,9388,10586,6.034939121228163,0.996736503268295,0.9880665139342341,0.992183813119396,0.028057173107464268
RUT_RANDOM_20K,3,RUT,RANDOM,20000,OFFICIAL_TEST,2.1913545131683354,0.8027994791666667,0.004985754985754986,0.9926742875543391,0.8876970700453533,61655,455,90805,15145,4.985754985754986,0.9898981445538672,0.9904333348599925,0.9808156199449443,0.014814814814814815
RUT_RANDOM_20K,3,RUT,RANDOM,20000,DOMAIN_OOD_EXACT,2.1913545131683354,0.8100627416355634,0.008963707914298208,0.9939430747513214,0.8926315479129967,60553,369,40797,14198,8.963707914298208,0.9929942092591635,0.9872213842882953,0.9853283549308148,0.024340475149395132
RUT_RANDOM_20K,3,RUT,RANDOM,20000,TEMPLATE_OOD_EXACT,2.1913545131683354,0.7989085986632449,0.004916671280659986,0.9922243043029019,0.8851342378865636,56657,444,89861,14261,4.916671280659986,0.9891411460130648,0.990260878151635,0.9793623028294359,0.014893970433530813
RUT_RANDOM_20K,3,RUT,RANDOM,20000,DOMAIN_TEMPLATE_OOD_EXACT,2.1913545131683354,0.8068232743043007,0.008773216031280548,0.9936088016948247,0.8905270212053037,55812,359,40561,13363,8.773216031280548,0.9924536968079131,0.9870875895247755,0.9842702668521564,0.024315738025415444
