rep,budget,scenario,metric,n,mean_pct,ci95_lo_pct,ci95_hi_pct
RUT,10000,OFFICIAL_TEST,fpr,10,0.50460223537146,0.48880667498793606,0.5203977957549839
RUT,10000,TEMPLATE_OOD_EXACT,tpr,10,73.22118503059872,72.47856836440094,73.96380169679651
RUT,10000,TEMPLATE_OOD_EXACT,fpr,10,0.500193787719389,0.4842276910153924,0.5161598844233857
RUT,20000,DOMAIN_OOD_EXACT,tpr,10,78.20724806357107,77.46663647808109,78.94785964906104
RUT,20000,DOMAIN_OOD_EXACT,fpr,10,0.9505417091774739,0.910627936617819,0.9904554817371288
RUT,20000,DOMAIN_TEMPLATE_OOD_EXACT,tpr,10,78.14354897000362,77.45114479725576,78.83595314275146
RUT,20000,DOMAIN_TEMPLATE_OOD_EXACT,fpr,10,0.9381720430107479,0.8972277798783342,0.9791163061431616
RUT,20000,LATE_TEST_Q4,tpr,10,74.0619727362811,72.81336998981386,75.31057548274833
RUT,20000,LATE_TEST_Q4,fpr,10,0.6807834833245071,0.6392917240778592,0.722275242571155
RUT,20000,OFFICIAL_TEST,tpr,10,77.51145833333334,76.7844488770356,78.23846778963107
RUT,20000,OFFICIAL_TEST,fpr,10,0.5199430199430131,0.5024884091382109,0.5373976307478151
RUT,20000,TEMPLATE_OOD_EXACT,tpr,10,77.38105981556164,76.70334127768184,78.05877835344143
RUT,20000,TEMPLATE_OOD_EXACT,fpr,10,0.51569680527102,0.4973949236512864,0.5339986868907537
RUT,50000,DOMAIN_OOD_EXACT,tpr,10,82.19167636553358,81.31651795974997,83.06683477131719
RUT,50000,DOMAIN_OOD_EXACT,fpr,10,0.9789632220764659,0.9476089545277172,1.0103174896252147
RUT,50000,DOMAIN_TEMPLATE_OOD_EXACT,tpr,10,82.33277918323093,81.39226906735499,83.27328929910688
RUT,50000,DOMAIN_TEMPLATE_OOD_EXACT,fpr,10,0.965786901270769,0.9351418340973041,0.9964319684442339
RUT,50000,LATE_TEST_Q4,tpr,10,79.03639626128177,77.50942665541005,80.5633658671535
RUT,50000,LATE_TEST_Q4,fpr,10,0.728427739544729,0.6959392348286537,0.7609162442608043
RUT,50000,OFFICIAL_TEST,tpr,10,81.54947916666666,80.68136519831197,82.41759313502135
RUT,50000,OFFICIAL_TEST,fpr,10,0.5368178829717241,0.5230340546476928,0.5506017112957553
RUT,50000,TEMPLATE_OOD_EXACT,tpr,10,81.63089765644831,80.69876950976177,82.56302580313485
RUT,50000,TEMPLATE_OOD_EXACT,fpr,10,0.5327501245778141,0.5193668212304382,0.54613342792519
RUT,100000,DOMAIN_OOD_EXACT,tpr,10,84.92087062380436,84.34477349960106,85.49696774800766
RUT,100000,DOMAIN_OOD_EXACT,fpr,10,0.9847932760044651,0.9574617143801747,1.0121248376287555
RUT,100000,DOMAIN_TEMPLATE_OOD_EXACT,tpr,10,85.15677629201302,84.59883878382539,85.71471380020064
RUT,100000,DOMAIN_TEMPLATE_OOD_EXACT,fpr,10,0.9696969696969651,0.9417770604412204,0.9976168789527096
RUT,100000,LATE_TEST_Q4,tpr,10,82.81903639626128,81.88448823199357,83.75358456052899
RUT,100000,LATE_TEST_Q4,fpr,10,0.759131815775539,0.729036659964258,0.7892269715868199
RUT,100000,OFFICIAL_TEST,tpr,10,84.28229166666667,83.70953523831778,84.85504809501553
RUT,100000,OFFICIAL_TEST,fpr,10,0.541420118343189,0.5284214194764747,0.5544188172099033
RUT,100000,TEMPLATE_OOD_EXACT,tpr,10,84.46769508446374,83.91495481013644,85.02043535879106
RUT,100000,TEMPLATE_OOD_EXACT,fpr,10,0.53607219976745,0.5230908735633039,0.5490535259715961
