reference,margin,budget,scenario,mean_delta,delta_fpr,p_ni
R0_200K,0.005,10000,DOMAIN_TEMPLATE_OOD_EXACT,-0.050788579689194036,-0.00227028347996093,1.0
XGB_200K,0.005,10000,DOMAIN_TEMPLATE_OOD_EXACT,-0.02739573545355989,-0.0026735092864125006,0.9999767727278491
R0_200K,0.005,10000,LATE_TEST_Q4,-0.05253220493317976,-0.002668078348332459,1.0
XGB_200K,0.005,10000,LATE_TEST_Q4,-0.03790406813251568,-0.004933827421916349,0.9998997758436882
R0_200K,0.005,10000,OFFICIAL_TEST,-0.04382421875000007,-0.0011122068814376999,1.0
XGB_200K,0.005,10000,OFFICIAL_TEST,-0.034140624999999813,-0.0011385053692746097,0.9999989627732407
R0_200K,0.005,10000,TEMPLATE_OOD_EXACT,-0.04795679517188869,-0.0011328276396656099,1.0
XGB_200K,0.005,10000,TEMPLATE_OOD_EXACT,-0.03532953551989626,-0.00103870217595926,0.99999868753126
R0_200K,0.005,20000,DOMAIN_OOD_EXACT,-0.007468796404061495,-0.0020818150901228613,0.75390625
XGB_200K,0.005,20000,DOMAIN_OOD_EXACT,0.012267394416128452,-0.002686683185152791,0.00020337566618847962
R0_200K,0.005,20000,DOMAIN_TEMPLATE_OOD_EXACT,-0.009442717744849994,-0.002079667644183821,0.9111328125
XGB_200K,0.005,20000,DOMAIN_TEMPLATE_OOD_EXACT,0.013950126490784198,-0.0024828934506353918,5.0334640508858526e-05
R0_200K,0.005,20000,LATE_TEST_Q4,-0.013738986046760715,-0.0021916357861302294,0.931640625
XGB_200K,0.005,20000,LATE_TEST_Q4,0.0008891507539033894,-0.004457384859714119,0.16497758652712946
R0_200K,0.005,20000,OFFICIAL_TEST,-0.004130208333333374,-0.0009587990357221698,0.4208984375
XGB_200K,0.005,20000,OFFICIAL_TEST,0.005553385416666834,-0.0009850975235590797,0.004889091037572801
R0_200K,0.005,20000,TEMPLATE_OOD_EXACT,-0.006358047322259553,-0.0009777974641492996,0.666015625
XGB_200K,0.005,20000,TEMPLATE_OOD_EXACT,0.006269212329732876,-0.0008836720004429498,0.0022459176853328695
R0_200K,0.005,50000,DOMAIN_OOD_EXACT,0.03237548661556365,-0.001797599961132941,0.0009765625
XGB_200K,0.005,50000,DOMAIN_OOD_EXACT,0.05211167743575362,-0.002402468056162871,2.0005604286280884e-08
R0_200K,0.005,50000,DOMAIN_TEMPLATE_OOD_EXACT,0.03244958438742322,-0.0018035190615836097,0.0009765625
XGB_200K,0.005,50000,DOMAIN_TEMPLATE_OOD_EXACT,0.05584242862305733,-0.0022067448680351803,2.0762859861633506e-08
R0_200K,0.005,50000,LATE_TEST_Q4,0.03600524920324598,-0.00171519322392801,0.0009765625
XGB_200K,0.005,50000,LATE_TEST_Q4,0.0506333860039101,-0.0039809422975119,5.5238793251310004e-06
R0_200K,0.005,50000,OFFICIAL_TEST,0.03624999999999996,-0.0007900504054350593,0.0009765625
XGB_200K,0.005,50000,OFFICIAL_TEST,0.04593359375000006,-0.0008163488932719691,6.044826259906807e-08
R0_200K,0.005,50000,TEMPLATE_OOD_EXACT,0.036140331086607025,-0.000807264271081359,0.0009765625
XGB_200K,0.005,50000,TEMPLATE_OOD_EXACT,0.0487675907385996,-0.0007131388073750092,6.652424195596833e-08
R0_200K,0.005,100000,DOMAIN_OOD_EXACT,0.059667429198271574,-0.0017392994218529498,0.0009765625
XGB_200K,0.005,100000,DOMAIN_OOD_EXACT,0.07940362001846146,-0.0023441675168828797,4.593773335443817e-13
R0_200K,0.005,100000,DOMAIN_TEMPLATE_OOD_EXACT,0.06068955547524398,-0.0017644183773216499,0.0009765625
XGB_200K,0.005,100000,DOMAIN_TEMPLATE_OOD_EXACT,0.08408239971087816,-0.0021676441837732204,5.1656394062417474e-14
R0_200K,0.005,100000,LATE_TEST_Q4,0.0738316505530411,-0.00140815246161991,0.0009765625
XGB_200K,0.005,100000,LATE_TEST_Q4,0.08845978735370519,-0.0036739015352038,4.687387139326193e-11
R0_200K,0.005,100000,OFFICIAL_TEST,0.06357812499999993,-0.00074402805172041,0.0009765625
XGB_200K,0.005,100000,OFFICIAL_TEST,0.0732617187500001,-0.0007703265395573198,1.3623754092639437e-12
R0_200K,0.005,100000,TEMPLATE_OOD_EXACT,0.06450830536676157,-0.000774043519185,0.0009765625
XGB_200K,0.005,100000,TEMPLATE_OOD_EXACT,0.07713556501875396,-0.0006799180554786502,1.5003548268998503e-13
R0_200K,0.005,200000,DOMAIN_OOD_EXACT,0.07399232117296084,-0.0016275567215663003,0.0009765625
XGB_200K,0.005,200000,DOMAIN_OOD_EXACT,0.09372851199315058,-0.00223242481659623,4.628792336840847e-15
R0_200K,0.005,200000,DOMAIN_TEMPLATE_OOD_EXACT,0.07535959522949043,-0.0016373411534702006,0.0009765625
XGB_200K,0.005,200000,DOMAIN_TEMPLATE_OOD_EXACT,0.09875243946512446,-0.002040566959921771,6.926965657335855e-15
R0_200K,0.005,200000,LATE_TEST_Q4,0.09170036690859429,-0.0015881418740074007,0.0009765625
XGB_200K,0.005,200000,LATE_TEST_Q4,0.10632850370925839,-0.0038538909475912906,1.0114598897377137e-13
R0_200K,0.005,200000,OFFICIAL_TEST,0.07792968749999996,-0.0006793776024546002,0.0009765625
XGB_200K,0.005,200000,OFFICIAL_TEST,0.08761328125000012,-0.0007056760902915101,5.715646901159944e-15
R0_200K,0.005,200000,TEMPLATE_OOD_EXACT,0.07927465523562416,-0.0007087093737888003,0.0009765625
XGB_200K,0.005,200000,TEMPLATE_OOD_EXACT,0.09190191488761656,-0.0006145839100824505,1.0098837980202463e-14
R0_200K,0.01,2000,DOMAIN_OOD_EXACT,-0.173924094660941,-0.002334450760336171,1.0
