allowed_tpr_loss_pp,stream,scenario,escalation_rate,full_path_avoided_rate,delta_tpr_vs_full_pp,delta_fpr_vs_full_pp,tpr,fpr
1.0,URL_DAPT,DOMAIN_TEMPLATE_OOD_EXACT,0.3009964121894727,0.6990035878105273,-0.7126852186483589,0.0386119257086998,0.9562414166967835,0.01216520039100678
1.0,URL_DAPT,LATE_TEST_Q4,0.36564209986320106,0.6343579001367989,-0.6379388842764988,-0.17998941238750663,0.9577332012105305,0.0129168872419269
1.0,URL_DAPT,OFFICIAL_TEST,0.2351386409615613,0.7648613590384385,-0.9401041666666643,0.01599824676747758,0.9517838541666667,0.00682226605303522
1.0,URL_DAPT,TEMPLATE_OOD_EXACT,0.22746506391767918,0.7725349360823207,-0.9323443977551582,0.01594596091024863,0.952477509236019,0.0067593156525108805
2.0,URL_BASE,DOMAIN_OOD_EXACT,0.358173520708783,0.6418264792912171,-1.0565744939867017,0.04955545838799002,0.9519230511966394,0.0124957489190108
2.0,URL_BASE,DOMAIN_TEMPLATE_OOD_EXACT,0.354052409282892,0.645947590717108,-1.0584748825442758,0.0498533724340175,0.9527835200578243,0.012277614858259959
2.0,URL_BASE,LATE_TEST_Q4,0.39931600547195617,0.6006839945280438,-1.1457189533731515,-0.1778718898888301,0.952655400519564,0.012938062466913642
2.0,URL_BASE,OFFICIAL_TEST,0.2839735808639771,0.7160264191360228,-1.2539062499999987,0.013587552049090543,0.9486458333333333,0.0067981591058513605
2.0,URL_BASE,TEMPLATE_OOD_EXACT,0.2771676497770169,0.7228323502229831,-1.2687893059589972,0.013731244117158519,0.9491130601539807,0.00673716848457998
2.0,URL_DAPT,DOMAIN_OOD_EXACT,0.28926559521036604,0.710734404789634,-1.055504274190311,0.00048583782733315763,0.9519337533946033,0.0120050527134042
2.0,URL_DAPT,DOMAIN_TEMPLATE_OOD_EXACT,0.2827903174531087,0.7172096825468913,-1.0272497289483207,0.0009775171065492833,0.9530957715937838,0.01178885630498528
2.0,URL_DAPT,LATE_TEST_Q4,0.35555745554035567,0.6444425444596443,-0.9416427863627884,-0.23928004235044997,0.9546961621896676,0.01232398094229746
