folder,run,budget,variant,AP,AUC,P_at_R90,FPR_at_TPR90
putra_target_adaptation_v1,0,500,E1_TARGET_RUT,0.893058288509374,0.9408623129591474,0.7396396396396396,0.17141162514827996
putra_target_adaptation_v1,0,1000,E1_TARGET_RUT,0.9335021644136777,0.9649389450791866,0.8432377049180327,0.09074733096085409
putra_target_adaptation_v1,0,2000,E1_TARGET_RUT,0.9474234945209865,0.9738246862708372,0.8773987206823027,0.06820877817319099
putra_target_adaptation_v1,1,200,E1_TARGET_RUT,0.8564566949220612,0.9087518990239538,0.6568,0.25444839857651247
putra_target_adaptation_v1,1,500,E1_TARGET_RUT,0.9048594616038821,0.9490274656094566,0.8146679881070367,0.11091340450771056
putra_target_adaptation_v1,1,1000,E1_TARGET_RUT,0.9396569521319983,0.9668119550061393,0.8690601900739177,0.07354685646500593
putra_target_adaptation_v1,1,2000,E1_TARGET_RUT,0.9533847163050982,0.974877604004079,0.8933623503808488,0.05812574139976275
putra_target_adaptation_v1,2,200,E1_TARGET_RUT,0.8496656898482033,0.9065985879586272,0.6310530361260569,0.2846975088967972
putra_target_adaptation_v1,2,500,E1_TARGET_RUT,0.9131619974462796,0.9535103327714304,0.8009756097560976,0.12099644128113879
putra_target_adaptation_v1,2,1000,E1_TARGET_RUT,0.93613688248685,0.9681666354498346,0.8569937369519833,0.08125741399762752
putra_target_adaptation_v1,2,2000,E1_TARGET_RUT,0.9510264624356197,0.9742363582443654,0.9002192982456141,0.05397390272835113
putra_target_adaptation_v1,3,200,E1_TARGET_RUT,0.8398026416001664,0.9053043901271566,0.6464566929133858,0.26631079478054565
putra_target_adaptation_v1,3,500,E1_TARGET_RUT,0.9168522175678057,0.9550354050904246,0.7955426356589147,0.12514827995255043
putra_target_adaptation_v1,3,1000,E1_TARGET_RUT,0.9273879218885953,0.9616390657842707,0.8351983723296033,0.09608540925266904
putra_target_adaptation_v1,3,2000,E1_TARGET_RUT,0.9445403916716925,0.9709748496389253,0.8734042553191489,0.07058125741399762
putra_target_adaptation_v1,4,200,E1_TARGET_RUT,0.8416745076712089,0.9125733595554723,0.6528991262907069,0.25919335705812574
putra_target_adaptation_v1,4,500,E1_TARGET_RUT,0.9005502814462782,0.9460345518303468,0.7836034318398475,0.134638196915777
putra_target_adaptation_v1,4,1000,E1_TARGET_RUT,0.9278223291142049,0.9623856683523756,0.8534303534303534,0.08362989323843416
putra_target_adaptation_v1,4,2000,E1_TARGET_RUT,0.9526757661792862,0.9753621152525442,0.8914223669923995,0.05931198102016608
putra_target_adaptation_v1,5,200,E1_TARGET_RUT,0.8324931632979917,0.9105436151172713,0.6536624203821656,0.2580071174377224
putra_target_adaptation_v1,5,500,E1_TARGET_RUT,0.8959110733630601,0.9518909596054193,0.7796771130104464,0.1376037959667853
putra_target_adaptation_v1,5,1000,E1_TARGET_RUT,0.9418923025910565,0.9700630580008742,0.880085653104925,0.066429418742586
putra_target_adaptation_v1,5,2000,E1_TARGET_RUT,0.9540364054652428,0.9750434434246946,0.8872180451127819,0.06227758007117438
putra_target_adaptation_v1,6,200,E1_TARGET_RUT,0.8486379947520157,0.9069445745145783,0.623199393479909,0.2947805456702254
putra_target_adaptation_v1,6,500,E1_TARGET_RUT,0.9120141934380016,0.9495113265072528,0.7694470477975632,0.14590747330960854
putra_target_adaptation_v1,6,1000,E1_TARGET_RUT,0.9281923488136676,0.9608105190318621,0.8152929493545183,0.1103202846975089
putra_target_adaptation_v1,6,2000,E1_TARGET_RUT,0.9472107284313861,0.972170844519365,0.8782051282051282,0.06761565836298933
putra_target_adaptation_v1,7,200,E1_TARGET_RUT,0.8153952678762177,0.8804317287881627,0.5642611683848797,0.3760379596678529
putra_target_adaptation_v1,7,500,E1_TARGET_RUT,0.8901547067170806,0.9335770847641047,0.6799007444168734,0.22953736654804271
putra_target_adaptation_v1,7,1000,E1_TARGET_RUT,0.9432866581501271,0.9701482539385237,0.8586278586278586,0.08066429418742586
putra_target_adaptation_v1,7,2000,E1_TARGET_RUT,0.9517530788327833,0.9753829264739546,0.8894907908992417,0.060498220640569395
putra_target_adaptation_v1,8,200,E1_TARGET_RUT,0.8469914483637102,0.9131729828723648,0.6626311541565779,0.2479240806642942
putra_target_adaptation_v1,8,500,E1_TARGET_RUT,0.9063264870837843,0.9499938867037105,0.7996108949416343,0.1221826809015421
putra_target_adaptation_v1,8,1000,E1_TARGET_RUT,0.940723472727802,0.9679110476368858,0.8784648187633263,0.06761565836298933
putra_target_adaptation_v1,8,2000,E1_TARGET_RUT,0.9520022067207461,0.9741882322948534,0.8876889848812095,0.06168446026097272
putra_target_adaptation_v1,9,200,E1_TARGET_RUT,0.8454619346077552,0.9109318744667125,0.6723996723996724,0.2372479240806643
putra_target_adaptation_v1,9,500,E1_TARGET_RUT,0.9113313699481008,0.9513264552246572,0.7804182509505704,0.13701067615658363
putra_target_adaptation_v1,9,1000,E1_TARGET_RUT,0.9368748345984688,0.9638645657738655,0.8218218218218218,0.1055753262158956
putra_target_adaptation_v1,9,2000,E1_TARGET_RUT,0.9557628305362798,0.97441000187301,0.8933623503808488,0.05812574139976275
