check,actual,expected,error,passed
Putra R0 2 200 P_at_R90,0.6265243902439024,0.6265243902439024,0.0,True
Putra R0 2 200 FPR_at_TPR90,0.29062870699881377,0.2906287069988137,5.551115123125783e-17,True
Putra RUT 2 200 AP,0.8690051733409498,0.8690076785283145,2.5051873646653178e-06,False
Putra RUT 2 200 AUC,0.9203109066408608,0.9203112318161956,3.2517533476994487e-07,False
Putra RUT 2 200 P_at_R90,0.6729508196721311,0.6729508196721311,0.0,True
Putra RUT 2 200 FPR_at_TPR90,0.23665480427046262,0.2366548042704626,2.7755575615628914e-17,True
Putra R0 2 500 AP,0.8930322385020214,0.8930322385020214,0.0,True
Putra R0 2 500 AUC,0.9391551424528106,0.9391551424528106,0.0,True
Putra R0 2 500 P_at_R90,0.745685740236149,0.745685740236149,0.0,True
Putra R0 2 500 FPR_at_TPR90,0.166073546856465,0.166073546856465,0.0,True
Putra RUT 2 500 AP,0.9161215445529746,0.916115514919874,6.029633100590459e-06,False
Putra RUT 2 500 AUC,0.9535812209943602,0.9535851230983748,3.9021040146858255e-06,False
Putra RUT 2 500 P_at_R90,0.785645933014354,0.785645933014354,0.0,True
Putra RUT 2 500 FPR_at_TPR90,0.132858837485172,0.132858837485172,0.0,True
Putra R0 2 1000 AP,0.9224779574498949,0.9224779574498948,1.1102230246251565e-16,True
Putra R0 2 1000 AUC,0.9576673742481946,0.9576673742481946,0.0,True
Putra R0 2 1000 P_at_R90,0.8242971887550201,0.8242971887550201,0.0,True
Putra R0 2 1000 FPR_at_TPR90,0.10379596678529063,0.1037959667852906,2.7755575615628914e-17,True
Putra RUT 2 1000 AP,0.9420501604287712,0.9420501604287712,0.0,True
Putra RUT 2 1000 AUC,0.9688664127697655,0.9688664127697656,1.1102230246251565e-16,True
Putra RUT 2 1000 P_at_R90,0.8463917525773196,0.8463917525773196,0.0,True
Putra RUT 2 1000 FPR_at_TPR90,0.08837485172004746,0.0883748517200474,5.551115123125783e-17,True
Putra R0 2 2000 AP,0.9346703103269546,0.9346689505174806,1.3598094740219224e-06,False
Putra R0 2 2000 AUC,0.9647568468918442,0.9647561965411752,6.503506689847782e-07,False
Putra R0 2 2000 P_at_R90,0.847265221878225,0.847265221878225,0.0,True
Putra R0 2 2000 FPR_at_TPR90,0.08778173190984578,0.0877817319098457,8.326672684688674e-17,True
Putra RUT 2 2000 AP,0.9594903130401268,0.9594903130401268,0.0,True
Putra RUT 2 2000 AUC,0.977397712846767,0.977397712846767,0.0,True
Putra RUT 2 2000 P_at_R90,0.9003285870755751,0.9003285870755751,0.0,True
Putra RUT 2 2000 FPR_at_TPR90,0.05397390272835113,0.0539739027283511,2.7755575615628914e-17,True
Putra R0 3 200 AP,0.8428310321584993,0.8428310321584993,0.0,True
Putra R0 3 200 AUC,0.90752338661006,0.90752338661006,0.0,True
Putra R0 3 200 P_at_R90,0.6426896012509773,0.6426896012509773,0.0,True
Putra R0 3 200 FPR_at_TPR90,0.27105575326215897,0.2710557532621589,5.551115123125783e-17,True
Putra RUT 3 200 AP,0.874516166891218,0.874516166891218,0.0,True
Putra RUT 3 200 AUC,0.9230947326798611,0.9230947326798612,1.1102230246251565e-16,True
Putra RUT 3 200 P_at_R90,0.7176573426573427,0.7176573426573427,0.0,True
Putra RUT 3 200 FPR_at_TPR90,0.1915776986951364,0.1915776986951364,0.0,True
Putra R0 3 500 AP,0.8967755079047728,0.8967755079047728,0.0,True
Putra R0 3 500 AUC,0.9431001696114545,0.9431001696114544,1.1102230246251565e-16,True
Putra R0 3 500 P_at_R90,0.7804182509505704,0.7804182509505704,0.0,True
Putra R0 3 500 FPR_at_TPR90,0.13701067615658363,0.1370106761565836,2.7755575615628914e-17,True
Putra RUT 3 500 AP,0.9216655803670643,0.9216655803670644,1.1102230246251565e-16,True
Putra RUT 3 500 AUC,0.9535246404861502,0.9535246404861502,0.0,True
Putra RUT 3 500 P_at_R90,0.7905859750240154,0.7905859750240154,0.0,True
Putra RUT 3 500 FPR_at_TPR90,0.12930011862396204,0.129300118623962,2.7755575615628914e-17,True
