seed,budget,rep,dataset,scenario,target_fpr,threshold,tpr,fpr,precision,f1,tp,fp,tn,fn,fp_per_1000,AP,P_at_R90
122,200000,R0,FINAL,LATE_TEST_Q4,0.0005,7.308593750000001,0.7061785264736602,0.0028586553732133,0.9989770789922334,0.8274390435246493,26368,27,9418,10971,2.8586553732133404,0.9976356156559854,0.997213989330172
122,200000,R0,DEV,DEV,0.001,5.875000000000001,0.9317,0.0012,0.9987136884982312,0.9640436649593874,9317,12,9988,683,1.2,0.9990722134986276,0.9994480627000772
122,200000,R0,FINAL,OFFICIAL_TEST,0.001,5.875000000000001,0.83375,0.0018408941485864,0.9973831775700934,0.9082553191489362,64032,168,91092,12768,1.8408941485864565,0.9948197064319858,0.9958378339454166
122,200000,R0,FINAL,DOMAIN_OOD_EXACT,0.001,5.875000000000001,0.8374336129282551,0.0027935675071661,0.9981662786618618,0.9107627396064452,62599,115,41051,12152,2.793567507166108,0.9963020096291246,0.9968925717667948
122,200000,R0,FINAL,TEMPLATE_OOD_EXACT,0.001,5.875000000000001,0.8330607180123523,0.0018049941863684,0.9972485736470748,0.9077904118008604,59079,163,90142,11839,1.8049941863684185,0.9946920786734974,0.9956485799397976
122,200000,R0,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.001,5.875000000000001,0.8371087820744488,0.0026881720430107,0.998104003998828,0.910544688345179,57907,110,40810,11268,2.688172043010753,0.996245011879654,0.9967987707279596
122,200000,R0,FINAL,LATE_TEST_Q4,0.001,5.875000000000001,0.8378638956586947,0.0078348332451032,0.997640230874709,0.9107979853853096,31285,74,9371,6054,7.834833245103229,0.9976356156559854,0.997213989330172
122,200000,R0,DEV,DEV,0.0025,3.8515625,0.9636,0.0026,0.9973090457462224,0.9801647848642052,9636,26,9974,364,2.6,0.9990722134986276,0.9994480627000772
122,200000,R0,FINAL,OFFICIAL_TEST,0.0025,3.8515625,0.9128776041666666,0.00387902695595,0.9949760867405588,0.9521604204722164,70109,354,90906,6691,3.879026955950033,0.9948197064319858,0.9958378339454166
122,200000,R0,FINAL,DOMAIN_OOD_EXACT,0.0025,3.8515625,0.9164425893967972,0.0068503133653986,0.9959003881547386,0.954520754086026,68505,282,40884,6246,6.85031336539863,0.9963020096291246,0.9968925717667948
122,200000,R0,FINAL,TEMPLATE_OOD_EXACT,0.0025,3.8515625,0.912871203361629,0.0037982393001494,0.9947297255769644,0.9520441176470588,64739,343,89962,6179,3.798239300149493,0.9946920786734974,0.9956485799397976
122,200000,R0,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.0025,3.8515625,0.9168196602818938,0.0066471163245356,0.9957295150173489,0.9546467170424784,63421,272,40648,5754,6.64711632453568,0.996245011879654,0.9967987707279596
122,200000,R0,FINAL,LATE_TEST_Q4,0.0025,3.8515625,0.9137095262326254,0.0114346214928533,0.9968444119795472,0.953468224246828,34117,108,9337,3222,11.434621492853362,0.9976356156559854,0.997213989330172
122,200000,R0,DEV,DEV,0.005,1.7001953125000002,0.9768,0.005,0.9949073130983908,0.9857705116560702,9768,50,9950,232,5.0,0.9990722134986276,0.9994480627000772
122,200000,R0,FINAL,OFFICIAL_TEST,0.005,1.7001953125000002,0.943671875,0.0073197457812842,0.9908670804735992,0.9666937882647958,72474,668,90592,4326,7.319745781284243,0.9948197064319858,0.9958378339454166
122,200000,R0,FINAL,DOMAIN_OOD_EXACT,0.005,1.7001953125000002,0.9460341667669998,0.0135548753825972,0.9921711680112242,0.9685535452590636,70717,558,40608,4034,13.55487538259729,0.9963020096291246,0.9968925717667948
122,200000,R0,FINAL,TEMPLATE_OOD_EXACT,0.005,1.7001953125000002,0.9437801404438928,0.0071867559935773,0.990396567031666,0.9665265924417682,66931,649,89656,3987,7.1867559935773215,0.9946920786734974,0.9956485799397976
122,200000,R0,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.005,1.7001953125000002,0.9464546440187928,0.0132697947214076,0.9917744720816796,0.9685847221297592,65471,543,40377,3704,13.269794721407624,0.996245011879654,0.9967987707279596
122,200000,R0,FINAL,LATE_TEST_Q4,0.005,1.7001953125000002,0.9435442834569752,0.0157755426151402,0.9957885811192764,0.968962719509344,35231,149,9296,2108,15.775542615140283,0.9976356156559854,0.997213989330172
