replicate,model_seed,label_rank_seed,rep,budget,dataset,scenario,target_fpr,threshold,tpr,fpr,precision,tp,fp,tn,fn,fp_per_1000,AP,P_at_R90,f1,fpr_ci_lo,fpr_ci_hi,AUC,FPR_at_TPR90,FPR_at_TPR95
3,202,9104,RT,20000,FINAL,DOMAIN_OOD_EXACT,0.005,3.2109375000000004,0.7120306082861768,0.0095952970898314,0.9926333457665052,53225,395,40771,21526,9.595297089831414,0.9899845776048162,0.9840134561942372,,,,,,
3,202,9104,RT,20000,FINAL,TEMPLATE_OOD_EXACT,0.005,3.2109375000000004,0.6946050368030683,0.0048170090249709,0.9912466042861456,49260,435,89870,21658,4.8170090249709325,0.9841414396883909,0.9794531058188068,,,,,,
3,202,9104,RT,20000,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.005,3.2109375000000004,0.7046910010842067,0.0091642228739002,0.99236594601197,48747,375,40545,20428,9.164222873900291,0.989279397541675,0.9833430696117592,,,,,,
3,202,9104,RT,20000,FINAL,LATE_TEST_Q4,0.005,3.2109375000000004,0.7486810037762125,0.0070937003705664,0.9976090214831204,27955,67,9378,9384,7.093700370566437,0.9957455010612588,0.9947318574641884,,,,,,
4,222,9105,R0,20000,FINAL,OFFICIAL_TEST,0.005,2.1640625000000004,0.713828125,0.00540214770984,0.9910874084787128,54822,493,90767,21978,5.402147709840018,0.984351626001388,0.974771547833935,,,,,,
4,222,9105,R0,20000,FINAL,DOMAIN_OOD_EXACT,0.005,2.1640625000000004,0.725328089256331,0.0104940970703979,0.992095295603008,54219,432,40734,20532,10.494097070397904,0.9895629863093248,0.9816733300259723,,,,,,
4,222,9105,R0,20000,FINAL,TEMPLATE_OOD_EXACT,0.005,2.1640625000000004,0.7072534476437575,0.0053263938873816,0.9905012046289348,50157,481,89824,20761,5.326393887381651,0.9831927663288528,0.9734622599783428,,,,,,
4,222,9105,R0,20000,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.005,2.1640625000000004,0.7183953740513191,0.0102639296187683,0.9916192756659684,49695,420,40500,19480,10.263929618768328,0.9887896852312872,0.981122858988702,,,,,,
4,222,9105,R0,20000,FINAL,LATE_TEST_Q4,0.005,2.1640625000000004,0.7463777819438121,0.0071995764955002,0.997565951963346,27869,68,9377,9470,7.199576495500265,0.9955425606173146,0.99223662071612,,,,,,
4,222,9105,RT,20000,FINAL,OFFICIAL_TEST,0.005,1.8505859375,0.7546614583333333,0.0050953320184089,0.9920408058470124,57958,465,90795,18842,5.095332018408941,0.9861237596239582,0.9778456837280368,,,,,,
4,222,9105,RT,20000,FINAL,DOMAIN_OOD_EXACT,0.005,1.8505859375,0.7633342697756552,0.0101297186998979,0.9927449240565792,57060,417,40749,17691,10.129718699897976,0.9906487018042618,0.983540658666004,,,,,,
4,222,9105,RT,20000,FINAL,TEMPLATE_OOD_EXACT,0.005,1.8505859375,0.7494853210750444,0.005016333536349,0.991549295774648,53152,453,89852,17766,5.016333536349039,0.9850752524953592,0.9767263935856044,,,,,,
4,222,9105,RT,20000,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.005,1.8505859375,0.7584965666787135,0.0098973607038123,0.9923402806672468,52469,405,40515,16706,9.897360703812316,0.9899357316955328,0.9828715762885784,,,,,,
4,222,9105,RT,20000,FINAL,LATE_TEST_Q4,0.005,1.8505859375,0.7911566994295509,0.0067760719957649,0.9978382030062488,29541,64,9381,7798,6.776071995764955,0.9961057015860642,0.9928548229944788,,,,,,
5,242,9106,R0,20000,FINAL,OFFICIAL_TEST,0.005,3.1757812500000004,0.67734375,0.0059171597633136,0.9897260273972602,52020,540,90720,24780,5.9171597633136095,0.9837528140969776,0.9757085591689252,,,,,,
5,242,9106,R0,20000,FINAL,DOMAIN_OOD_EXACT,0.005,3.1757812500000004,0.6886329279875855,0.0112228538113977,0.9911047787746928,51476,462,40704,23275,11.222853811397757,0.9889953139043168,0.9809898680661856,,,,,,
5,242,9106,R0,20000,FINAL,TEMPLATE_OOD_EXACT,0.005,3.1757812500000004,0.6662483431568854,0.0057028957422069,0.989217820953019,47249,515,89790,23669,5.702895742206966,0.9824709830107934,0.974179764993133,,,,,,
5,242,9106,R0,20000,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.005,3.1757812500000004,0.6770365016263101,0.0108748778103616,0.9905877873897502,46834,445,40475,22341,10.87487781036168,0.988077321730968,0.9799011583983884,,,,,,
5,242,9106,R0,20000,FINAL,LATE_TEST_Q4,0.005,3.1757812500000004,0.700527598489515,0.0071995764955002,0.9974070543374642,26157,68,9377,11182,7.199576495500265,0.9957827922240416,0.9938811705586758,,,,,,
5,242,9106,RT,20000,FINAL,OFFICIAL_TEST,0.005,3.1035156250000004,0.6880078125,0.0051610782380013,0.9911648846370288,52839,471,90789,23961,5.161078238001315,0.9846858517823706,0.9758724870115202,,,,,,
5,242,9106,RT,20000,FINAL,DOMAIN_OOD_EXACT,0.005,3.1035156250000004,0.6985859720940188,0.0100325511344313,0.9921532118632796,52220,413,40753,22531,10.032551134431326,0.9895824012795555,0.9816187197292408,,,,,,
5,242,9106,RT,20000,FINAL,TEMPLATE_OOD_EXACT,0.005,3.1035156250000004,0.6761894018443837,0.0050495542882453,0.9905804585829374,47954,456,89849,22964,5.049554288245391,0.983299727672273,0.9740862266310568,,,,,,
5,242,9106,RT,20000,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.005,3.1035156250000004,0.6861582941814239,0.0097262952101661,0.9916845997952488,47465,398,40522,21710,9.726295210166176,0.9886336177418372,0.980286569044245,,,,,,
5,242,9106,RT,20000,FINAL,LATE_TEST_Q4,0.005,3.1035156250000004,0.7308444253997162,0.0059290629962943,0.9979520936185774,27289,56,9389,10050,5.929062996294336,0.9958221349832204,0.9923231368843748,,,,,,
6,262,9107,R0,20000,FINAL,OFFICIAL_TEST,0.005,3.3828125000000004,0.7030989583333334,0.0057966250273942,0.9902983842866836,53998,529,90731,22802,5.796625027394258,0.9835767539729952,0.9741949122683392,,,,,,
6,262,9107,R0,20000,FINAL,DOMAIN_OOD_EXACT,0.005,3.3828125000000004,0.7144519805755107,0.0112957294854977,0.9913682686417552,53406,465,40701,21345,11.29572948549774,0.9886884433624572,0.97940140332489,,,,,,
