replicate,model_seed,label_rank_seed,rep,budget,dataset,scenario,target_fpr,threshold,tpr,fpr,precision,f1,tp,fp,tn,fn,fp_per_1000,fpr_ci_lo,fpr_ci_hi,AP,AUC,P_at_R90,FPR_at_TPR90,FPR_at_TPR95
1,162,9102,RU,20000,FINAL,OFFICIAL_TEST,0.005,3.1250000000000004,0.7654557291666667,0.0051939513477975,0.9920014849563794,0.8641271194537745,58787,474,90786,18013,5.193951347797501,0.0047378922131123,0.0056818815529061,0.9900276875799292,0.9906041237917992,0.98782631060054,0.009335963182117,0.0265066841989918
1,162,9102,RU,20000,FINAL,DOMAIN_OOD_EXACT,0.005,3.1250000000000004,0.7712003852791267,0.0096438808725647,0.9931604789387544,0.8682189222566944,57648,397,40769,17103,9.643880872564738,0.0087223864306582,0.0106354936275669,0.9929870483614952,0.9872251138155428,0.990055459934978,0.0164213185638633,0.044599912549191
1,162,9102,RU,20000,FINAL,TEMPLATE_OOD_EXACT,0.005,3.1250000000000004,0.7581432076482698,0.0051049222080726,0.9914986999096392,0.8592592592592593,53766,461,89844,17152,5.104922208072643,0.0046505311982684,0.005591533930446,0.98933233600105,0.990473272421397,0.9872566152704104,0.0091246331875311,0.0255135374563977
1,162,9102,RU,20000,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.005,3.1250000000000004,0.7643512829779545,0.0094819159335288,0.9927152566557772,0.8636931646479414,52874,388,40532,16301,9.481915933528835,0.0085656455518711,0.0104687628019753,0.9924988910963032,0.9871555864908336,0.9896233910694422,0.0159579667644183,0.0424486803519061
1,162,9102,RU,20000,FINAL,LATE_TEST_Q4,0.005,3.1250000000000004,0.7926296901363186,0.0077289571201694,0.9975395193636456,0.8833572110792741,29596,73,9372,7743,7.728957120169402,0.0060630205869548,0.009708326763937,0.9972274503421032,0.9897165669282983,0.9962098780054482,0.0135521439915299,0.0328215987294865
1,162,9102,RUT,20000,FINAL,OFFICIAL_TEST,0.005,3.3007812500000004,0.8116796875,0.0055993863686171,0.9918692718940936,0.8927732584784601,62337,511,90749,14463,5.599386368617139,0.0051255502308494,0.0061050497664456,0.9904607143988828,0.991106645704352,0.98902561167549,0.0084045584045584,0.0226934034626342
1,162,9102,RUT,20000,FINAL,DOMAIN_OOD_EXACT,0.005,3.3007812500000004,0.8166847266257308,0.0105183889617645,0.9929571737609992,0.8962358329907804,61048,433,40733,13703,10.518388961764565,0.0095553861988633,0.0115513363051002,0.9933165989027026,0.987883608460004,0.9907088376476132,0.0153281834523636,0.0375309721614924
1,162,9102,RUT,20000,FINAL,TEMPLATE_OOD_EXACT,0.005,3.3007812500000004,0.8062269099523394,0.0055035712308288,0.9913824493263744,0.8892690779292486,57176,497,89808,13742,5.503571230828857,0.0050314536287235,0.0060078654500045,0.9897346646785128,0.9909548401310924,0.9884934646596047,0.0082276728863296,0.021538120812801
1,162,9102,RUT,20000,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.005,3.3007812500000004,0.8115070473436935,0.0103128054740957,0.9925386329078114,0.8929398010068956,56136,422,40498,13039,10.312805474095796,0.0093566027335208,0.0113394171620089,0.9928156175247363,0.9877838026793224,0.9902498767317204,0.014980449657869,0.0356793743890518
1,162,9102,RUT,20000,FINAL,LATE_TEST_Q4,0.005,3.3007812500000004,0.8456037922815287,0.0091053467443091,0.9972836386607709,0.9152016695894144,31574,86,9359,5765,9.105346744309156,0.0072893706354501,0.0112329807708532,0.9970775911986236,0.9890209500975078,0.9962949789554804,0.0132345156167284,0.0302805717310746
2,182,9103,RU,20000,FINAL,OFFICIAL_TEST,0.005,2.7832031250000004,0.7766927083333334,0.005928117466579,0.991011945307438,0.8708601294975583,59650,541,90719,17150,5.928117466579005,0.0054403427247474,0.0064476853167276,0.9878212143684336,0.9884134862931688,0.9838512321438734,0.0124369932062239,0.03393600701293
2,182,9103,RU,20000,FINAL,DOMAIN_OOD_EXACT,0.005,2.7832031250000004,0.7823574266564995,0.0109556430063644,0.9923472417830418,0.8749289368959635,58482,451,40715,16269,10.955643006364475,0.0099725532475157,0.01200859275532,0.9915128323217142,0.9845977344194864,0.9866584564860428,0.0221056211436622,0.0567215663411553
2,182,9103,RU,20000,FINAL,TEMPLATE_OOD_EXACT,0.005,2.7832031250000004,0.7693251360726473,0.0057250429101378,0.9906129711671146,0.8660571138308173,54559,517,89788,16359,5.725042910137866,0.0052433586375985,0.0062388801412788,0.9869886843563088,0.9882274553432916,0.9830798127848256,0.01216986877803,0.0329106915453186
